/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.034181667938741556 0.2971764160766748 depot
/*The Locations (x_coor y_coor name)*/
68.0 100.0 loc1
2.0 79.0 loc2
59.0 10.0 loc3
15.0 96.0 loc4
66.0 44.0 loc5
28.0 18.0 loc6
98.0 34.0 loc7
2.0 94.0 loc8
84.0 50.0 loc9
86.0 93.0 loc10
33.0 51.0 loc11
98.0 97.0 loc12
92.0 20.0 loc13
39.0 10.0 loc14
90.0 34.0 loc15
55.0 90.0 loc16
15.0 19.0 loc17
66.0 98.0 loc18
66.0 0.0 loc19
13.0 6.0 loc20
89.0 76.0 loc21
11.0 9.0 loc22
4.0 0.0 loc23
7.0 56.0 loc24
82.0 35.0 loc25
75.0 25.0 loc26
10.0 42.0 loc27
83.0 67.0 loc28
13.0 11.0 loc29
29.0 59.0 loc30
37.0 49.0 loc31
22.0 9.0 loc32
1.0 94.0 loc33
19.0 39.0 loc34
34.0 10.0 loc35
8.0 5.0 loc36
78.0 72.0 loc37
47.0 32.0 loc38
12.0 83.0 loc39
79.0 20.0 loc40
97.0 19.0 loc41
32.0 53.0 loc42
28.0 25.0 loc43
84.0 45.0 loc44
24.0 17.0 loc45
8.0 86.0 loc46
71.0 67.0 loc47
13.0 5.0 loc48
28.0 99.0 loc49
75.0 24.0 loc50
96.0 74.0 loc51
39.0 62.0 loc52
24.0 5.0 loc53
63.0 31.0 loc54
69.0 9.0 loc55
38.0 12.0 loc56
6.0 43.0 loc57
30.0 2.0 loc58
4.0 97.0 loc59
48.0 50.0 loc60
18.0 85.0 loc61
22.0 47.0 loc62
67.0 55.0 loc63
64.0 47.0 loc64
77.0 28.0 loc65
95.0 43.0 loc66
30.0 39.0 loc67
23.0 0.0 loc68
42.0 100.0 loc69
25.0 45.0 loc70
96.0 86.0 loc71
0.0 49.0 loc72
17.0 18.0 loc73
26.0 17.0 loc74
1.0 73.0 loc75
97.0 89.0 loc76
26.0 33.0 loc77
77.0 44.0 loc78
0.0 65.0 loc79
